trial;fact;start_time;rt;correct;fact_id;question;answer
1;Word(fact_id=1, question='winkel', answer=['shop', 'store']);10956.0;961.0;TRUE;1;winkel;['shop', 'store']
2;Word(fact_id=2, question='lepel', answer=['spoon']);13967.0;957.0;TRUE;2;lepel;['spoon']
3;Word(fact_id=3, question='jas', answer=['coat', 'jacket', 'overcoat', 'cloak']);17227.0;inf;FALSE;3;jas;['coat', 'jacket', 'overcoat', 'cloak']
4;Word(fact_id=4, question='raam', answer=['window', 'frame']);21104.0;inf;TRUE;4;raam;['window', 'frame']
5;Word(fact_id=5, question='buiten', answer=['outside', 'out']);25836.0;inf;FALSE;5;buiten;['outside', 'out']
6;Word(fact_id=6, question='toevoegen', answer=['add', 'append']);30753.0;1778.0;FALSE;6;toevoegen;['add', 'append']
7;Word(fact_id=7, question='proberen', answer=['attempt', 'try']);35716.0;1409.0;FALSE;7;proberen;['attempt', 'try']
8;Word(fact_id=8, question='bezig', answer=['busy']);40711.0;inf;FALSE;8;bezig;['busy']
9;Word(fact_id=9, question='onderwijs', answer=['education']);46177.0;6287.0;FALSE;9;onderwijs;['education']
10;Word(fact_id=10, question='spier', answer=['muscle']);55293.0;1212.0;TRUE;10;spier;['muscle']
11;Word(fact_id=11, question='plotseling', answer=['suddenly', 'abruptly']);58823.0;inf;FALSE;11;plotseling;['suddenly', 'abruptly']
12;Word(fact_id=12, question='optreden', answer=['performance', 'action', 'perform']);67038.0;873.0;FALSE;12;optreden;['performance', 'action', 'perform']
13;Word(fact_id=13, question='ontspannen', answer=['relax', 'relaxing', 'relaxed']);69372.0;808.0;FALSE;13;ontspannen;['relax', 'relaxing', 'relaxed']
14;Word(fact_id=14, question='betrouwbaar', answer=['reliable', 'trustworthy']);71642.0;1308.0;FALSE;14;betrouwbaar;['reliable', 'trustworthy']
15;Word(fact_id=15, question='weigeren', answer=['refuse', 'deny', 'decline']);75134.0;2299.0;FALSE;15;weigeren;['refuse', 'deny', 'decline']
16;Word(fact_id=16, question='loopbaan', answer=['career\xa0']);79422.0;1829.0;FALSE;16;loopbaan;['career\xa0']
17;Word(fact_id=17, question='frappant', answer=['striking', 'strikingly ']);83928.0;inf;FALSE;17;frappant;['striking', 'strikingly ']
18;Word(fact_id=18, question='raadsel', answer=['puzzle', 'riddle']);90606.0;inf;FALSE;18;raadsel;['puzzle', 'riddle']
19;Word(fact_id=19, question='bijkomend', answer=['additional', 'secondary', 'additionally']);99673.0;1374.0;FALSE;19;bijkomend;['additional', 'secondary', 'additionally']
